========================================================================================================================
>>>>>>>                                             START NEW SESSION                                            <<<<<<<
DEBUG:     itc.c:913                                msg: Sent successfully on trans_mechanism[1]!
DEBUG:     itc.c:683                                msg: Sent notification to itccoord regarding ADD mailbox id = 0x00200002
INFO:      itc_gw_daemon.c:916                      msg: Create TCP server mailbox "itc_gw_tcp_server_mailbox" successfully!
INFO:      itc_gw_daemon.c:842                      msg: Starting tcp server loop...
DEBUG:     itc.c:580                                msg: Creating mailbox name itc_gw_tcp_client_mailbox
DEBUG:     itc_queue.c:186                          msg: Queue currently has 2 items!
DEBUG:     itc.c:493                                msg: Allocating itc msg msgno 0x90000503, size = 34
DEBUG:     itc.c:878                                msg: Prepare to send message from 0x00200003 to 0x00100001, msgno = 0x90000503
DEBUG:     itc.c:1381                               msg: Mailbox not belong to this process, mbox_id = 0x00100001
DEBUG:     itc_local.c:422                          msg: Not belong to this process, mbox_id = 0x00100000, my_mbox_id_in_itccoord = 0x00200000
DEBUG:     itc_local.c:303                          msg: Not belong to this process, mbox_id = 0x00100001
DEBUG:     itc.c:533                                msg: Freeing itc msg msgno 0x90000503
DEBUG:     itc.c:913                                msg: Sent successfully on trans_mechanism[1]!
DEBUG:     itc.c:683                                msg: Sent notification to itccoord regarding ADD mailbox id = 0x00200003
INFO:      itc_gw_daemon.c:1223                     msg: Create TCP client mailbox "itc_gw_tcp_client_mailbox" successfully!
INFO:      itc_gw_daemon.c:1146                     msg: Starting tcp client loop...
INFO:      itc_gw_daemon.c:563                      msg: Broadcast timer will expire in: 0.0 seconds!
INFO:      itc_gw_daemon.c:568                      msg: Reset timer 10s, send broadcasting message...!
INFO:      itc_gw_daemon.c:650                      msg: Received a greeting message from tcp://127.0.0.1:22223/
INFO:      itc_gw_daemon.c:671                      msg: Adding new TCP peer connection successfully from tcp://127.0.0.1:22223/
DEBUG:     itc.c:493                                msg: Allocating itc msg msgno 0x00000103, size = 27
DEBUG:     itc.c:878                                msg: Prepare to send message from 0xfff00000 to 0x00200003, msgno = 0x00000103
DEBUG:     itc_local.c:481                          msg: RX queue is empty, add a new one!
DEBUG:     itc.c:913                                msg: Sent successfully on trans_mechanism[0]!
DEBUG:     itc.c:954                                msg: Notify receiver about sent messages!
INFO:      itc_gw_daemon.c:698                      msg: Sent ITCGW_UDP_ADD_PEER to mailbox "itc_gw_tcp_client_mailbox" successfully!
INFO:      itc_gw_daemon.c:563                      msg: Broadcast timer will expire in: 8.526 seconds!
DEBUG:     itc_local.c:511                          msg: RX queue has only one item, dequeue it!
DEBUG:     itc.c:998                                msg: Received a message on trans_mechanisms[0]!
INFO:      itc_gw_daemon.c:1254                     msg: Received ITCGW_UDP_ADD_PEER addr = tcp://127.0.0.1:22223/
INFO:      itc_gw_daemon.c:1375                     msg: Connect to new TCP peer successfully from tcp://127.0.0.1:22223/
INFO:      itc_gw_daemon.c:1603                     msg: Sending ITCGW_GET_NAMESPACE_REQUEST successfully!
DEBUG:     itc.c:533                                msg: Freeing itc msg msgno 0x00000103
INFO:      itc_gw_daemon.c:1305                     msg: Receiving 20 bytes from fd 10
INFO:      itc_gw_daemon.c:1306                     msg: Re-interpret TCP packet: msgno: 0x00000102
INFO:      itc_gw_daemon.c:1307                     msg: Re-interpret TCP packet: payloadLen: 13
INFO:      itc_gw_daemon.c:1308                     msg: Re-interpret TCP packet: protRev: 15
INFO:      itc_gw_daemon.c:1309                     msg: Re-interpret TCP packet: receiver: 222
INFO:      itc_gw_daemon.c:1310                     msg: Re-interpret TCP packet: sender: 258094
INFO:      itc_gw_daemon.c:1315                     msg: Received ITCGW_GET_NAMESPACE_REPLY!
INFO:      itc_gw_daemon.c:1657                     msg: Receiving 13 bytes from fd 10
INFO:      itc_gw_daemon.c:1658                     msg: Re-interpret TCP packet: errorcode: 0
INFO:      itc_gw_daemon.c:1659                     msg: Re-interpret TCP packet: namespace: "/host_2/"
INFO:      itc_gw_daemon.c:1670                     msg: Set namespace "/host_2/" to respective peer info in client list successfully!
INFO:      itc_gw_daemon.c:563                      msg: Broadcast timer will expire in: 0.0 seconds!
INFO:      itc_gw_daemon.c:568                      msg: Reset timer 10s, send broadcasting message...!
INFO:      itc_gw_daemon.c:958                      msg: Receiving new connection from a peer client tcp://127.0.0.1:60064/
INFO:      itc_gw_daemon.c:974                      msg: Accepting new tcp connection from tcp://127.0.0.1:22223/
INFO:      itc_gw_daemon.c:1023                     msg: Receiving 20 bytes from fd 11
INFO:      itc_gw_daemon.c:1024                     msg: Re-interpret TCP packet: msgno: 0x00000101
INFO:      itc_gw_daemon.c:1025                     msg: Re-interpret TCP packet: payloadLen: 4
INFO:      itc_gw_daemon.c:1026                     msg: Re-interpret TCP packet: protRev: 15
INFO:      itc_gw_daemon.c:1027                     msg: Re-interpret TCP packet: receiver: 111
INFO:      itc_gw_daemon.c:1028                     msg: Re-interpret TCP packet: sender: 258094
INFO:      itc_gw_daemon.c:1033                     msg: Received ITCGW_GET_NAMESPACE_REQUEST!
INFO:      itc_gw_daemon.c:1564                     msg: Receiving 4 bytes from fd 11
INFO:      itc_gw_daemon.c:1565                     msg: Re-interpret TCP packet: errorcode: 0
INFO:      itc_gw_daemon.c:1635                     msg: Sent ITCGW_GET_NAMESPACE_REPLY successfully!
INFO:      itc_gw_daemon.c:650                      msg: Received a greeting message from tcp://127.0.0.1:22223/
INFO:      itc_gw_daemon.c:661                      msg: Already connected, ignore broadcasting message from this peer!
INFO:      itc_gw_daemon.c:563                      msg: Broadcast timer will expire in: 8.526 seconds!
INFO:      itc_gw_daemon.c:1003                     msg: Peer from this socket fd 11 disconnected, remove it from server list!
INFO:      itc_gw_daemon.c:1288                     msg: Peer from this socket fd 10 disconnected, remove it from client list!
DEBUG:     itc.c:493                                msg: Allocating itc msg msgno 0x00000104, size = 27
DEBUG:     itc.c:878                                msg: Prepare to send message from 0xfff00000 to 0x00200001, msgno = 0x00000104
DEBUG:     itc_local.c:481                          msg: RX queue is empty, add a new one!
DEBUG:     itc.c:913                                msg: Sent successfully on trans_mechanism[0]!
DEBUG:     itc.c:954                                msg: Notify receiver about sent messages!
DEBUG:     itc_local.c:511                          msg: RX queue has only one item, dequeue it!
DEBUG:     itc.c:998                                msg: Received a message on trans_mechanisms[0]!
INFO:      itc_gw_daemon.c:1490                     msg: Received ITCGW_UDP_RMV_PEER addr = tcp://127.0.0.1:22223/
INFO:      itc_gw_daemon.c:1522                     msg: Remove peer "tcp://127.0.0.1:22223/" from udp tree successfully!
DEBUG:     itc.c:533                                msg: Freeing itc msg msgno 0x00000104
INFO:      itc_gw_daemon.c:563                      msg: Broadcast timer will expire in: 6.134 seconds!
INFO:      itc_gw_daemon.c:563                      msg: Broadcast timer will expire in: 0.0 seconds!
INFO:      itc_gw_daemon.c:568                      msg: Reset timer 10s, send broadcasting message...!
INFO:      itc_gw_daemon.c:313                      msg: ITCGW is terminated with SIG = 15, calling exit handler...
INFO:      itc_gw_daemon.c:325                      msg: Closing file descriptors...
INFO:      itc_gw_daemon.c:330                      msg: Destroying UDP, TCP server and client trees...
INFO:      itc_gw_daemon.c:335                      msg: Deleting UDP, TCP server, TCP client mailboxes...
DEBUG:     itc.c:697                                msg: Deleting mailbox id 0x00200001
DEBUG:     itc.c:754                                msg: Waiting for other job that owned rx queue mutex before deleting the mailbox!
DEBUG:     itc.c:493                                msg: Allocating itc msg msgno 0x90000504, size = 27
DEBUG:     itc.c:878                                msg: Prepare to send message from 0x00200001 to 0x00100001, msgno = 0x90000504
DEBUG:     itc.c:1381                               msg: Mailbox not belong to this process, mbox_id = 0x00100001
DEBUG:     itc_local.c:422                          msg: Not belong to this process, mbox_id = 0x00100000, my_mbox_id_in_itccoord = 0x00200000
DEBUG:     itc_local.c:303                          msg: Not belong to this process, mbox_id = 0x00100001
DEBUG:     itc_sysvmq.c:269                         msg: MSG queue of receiver has corrupted and just re-created, add contact list and resend msg again!
DEBUG:     itc_sysvmq.c:565                         msg: Get sysv message queue: proj_id = 1!
DEBUG:     itc_sysvmq.c:570                         msg: Failed to ftok
DEBUG:     itc_sysvmq.c:579                         msg: Failed to msgget
DEBUG:     itc_sysvmq.c:551                         msg: sysv_msqid = -1!
DEBUG:     itc_sysvmq.c:274                         msg: Add contact list again failed due to msq_key = -1!
DEBUG:     itc.c:533                                msg: Freeing itc msg msgno 0x90000504
DEBUG:     itc.c:913                                msg: Sent successfully on trans_mechanism[1]!
DEBUG:     itc.c:792                                msg: Sent notification to itccoord about my demise mbox_id = 0x00200001
DEBUG:     itc.c:826                                msg: Deleted thread-local mailbox 0x00200001
DEBUG:     itc.c:1355                               msg: Thread-local mailbox destructor called by tid = 258077, mbox_id = 0x00200002
DEBUG:     itc.c:1360                               msg: Deleting mailbox with mbox_id = 0x00200002
DEBUG:     itc.c:697                                msg: Deleting mailbox id 0x00200002
DEBUG:     itc.c:754                                msg: Waiting for other job that owned rx queue mutex before deleting the mailbox!
DEBUG:     itc.c:493                                msg: Allocating itc msg msgno 0x90000504, size = 34
DEBUG:     itc.c:878                                msg: Prepare to send message from 0x00200002 to 0x00100001, msgno = 0x90000504
DEBUG:     itc.c:1381                               msg: Mailbox not belong to this process, mbox_id = 0x00100001
DEBUG:     itc_local.c:422                          msg: Not belong to this process, mbox_id = 0x00100000, my_mbox_id_in_itccoord = 0x00200000
DEBUG:     itc_local.c:303                          msg: Not belong to this process, mbox_id = 0x00100001
DEBUG:     itc_sysvmq.c:518                         msg: Add contact list!
DEBUG:     itc_sysvmq.c:565                         msg: Get sysv message queue: proj_id = 1!
DEBUG:     itc_sysvmq.c:570                         msg: Failed to ftok
DEBUG:     itc_sysvmq.c:579                         msg: Failed to msgget
DEBUG:     itc_sysvmq.c:551                         msg: sysv_msqid = -1!
DEBUG:     itc_sysvmq.c:250                         msg: Receiver side not initialised message queue yet!
DEBUG:     itc.c:926                                msg: Failed to send message by all transport mechanisms!
DEBUG:     itc.c:788                                msg: Failed to send notification to itccoord regarding RMV mailbox id = 0x00200002
DEBUG:     itc.c:533                                msg: Freeing itc msg msgno 0x90000504
DEBUG:     itc.c:826                                msg: Deleted thread-local mailbox 0x00200002
INFO:      itc_gw_daemon.c:801                      msg: Calling tcp server thread destructor...
INFO:      itc_gw_daemon.c:805                      msg: Deleting tcp server mailbox...
DEBUG:     itc.c:697                                msg: Deleting mailbox id 0x00200002
DEBUG:     itc.c:703                                msg: Not initialized yet!
DEBUG:     itc.c:1355                               msg: Thread-local mailbox destructor called by tid = 258078, mbox_id = 0x00200003
DEBUG:     itc.c:1360                               msg: Deleting mailbox with mbox_id = 0x00200003
DEBUG:     itc.c:697                                msg: Deleting mailbox id 0x00200003
DEBUG:     itc.c:754                                msg: Waiting for other job that owned rx queue mutex before deleting the mailbox!
DEBUG:     itc.c:493                                msg: Allocating itc msg msgno 0x90000504, size = 34
DEBUG:     itc.c:878                                msg: Prepare to send message from 0x00200003 to 0x00100001, msgno = 0x90000504
DEBUG:     itc.c:1381                               msg: Mailbox not belong to this process, mbox_id = 0x00100001
DEBUG:     itc_local.c:422                          msg: Not belong to this process, mbox_id = 0x00100000, my_mbox_id_in_itccoord = 0x00200000
DEBUG:     itc_local.c:303                          msg: Not belong to this process, mbox_id = 0x00100001
DEBUG:     itc_sysvmq.c:518                         msg: Add contact list!
DEBUG:     itc_sysvmq.c:565                         msg: Get sysv message queue: proj_id = 1!
DEBUG:     itc_sysvmq.c:570                         msg: Failed to ftok
DEBUG:     itc_sysvmq.c:579                         msg: Failed to msgget
DEBUG:     itc_sysvmq.c:551                         msg: sysv_msqid = -1!
DEBUG:     itc_sysvmq.c:250                         msg: Receiver side not initialised message queue yet!
DEBUG:     itc.c:926                                msg: Failed to send message by all transport mechanisms!
DEBUG:     itc.c:788                                msg: Failed to send notification to itccoord regarding RMV mailbox id = 0x00200003
DEBUG:     itc.c:533                                msg: Freeing itc msg msgno 0x90000504
DEBUG:     itc.c:826                                msg: Deleted thread-local mailbox 0x00200003
INFO:      itc_gw_daemon.c:1105                     msg: Calling tcp client thread destructor...
INFO:      itc_gw_daemon.c:1109                     msg: Deleting tcp client mailbox...
DEBUG:     itc.c:697                                msg: Deleting mailbox id 0x00200003
DEBUG:     itc.c:703                                msg: Not initialized yet!
INFO:      itc_gw_daemon.c:365                      msg: Exiting ITC system...
DEBUG:     itc.c:1355                               msg: Thread-local mailbox destructor called by tid = 258075, mbox_id = 0x00200000
DEBUG:     itc.c:1360                               msg: Deleting mailbox with mbox_id = 0x00200000
DEBUG:     itc.c:697                                msg: Deleting mailbox id 0x00200000
DEBUG:     itc.c:754                                msg: Waiting for other job that owned rx queue mutex before deleting the mailbox!
DEBUG:     itc.c:493                                msg: Allocating itc msg msgno 0x90000504, size = 33
DEBUG:     itc.c:878                                msg: Prepare to send message from 0x00200000 to 0x00100001, msgno = 0x90000504
DEBUG:     itc.c:1381                               msg: Mailbox not belong to this process, mbox_id = 0x00100001
DEBUG:     itc_local.c:422                          msg: Not belong to this process, mbox_id = 0x00100000, my_mbox_id_in_itccoord = 0x00200000
DEBUG:     itc_local.c:303                          msg: Not belong to this process, mbox_id = 0x00100001
DEBUG:     itc_sysvmq.c:518                         msg: Add contact list!
DEBUG:     itc_sysvmq.c:565                         msg: Get sysv message queue: proj_id = 1!
DEBUG:     itc_sysvmq.c:570                         msg: Failed to ftok
DEBUG:     itc_sysvmq.c:579                         msg: Failed to msgget
DEBUG:     itc_sysvmq.c:551                         msg: sysv_msqid = -1!
DEBUG:     itc_sysvmq.c:250                         msg: Receiver side not initialised message queue yet!
DEBUG:     itc.c:926                                msg: Failed to send message by all transport mechanisms!
DEBUG:     itc.c:788                                msg: Failed to send notification to itccoord regarding RMV mailbox id = 0x00200000
DEBUG:     itc.c:533                                msg: Freeing itc msg msgno 0x90000504
DEBUG:     itc.c:826                                msg: Deleted thread-local mailbox 0x00200000
DEBUG:     itc_threadmanager.c:154                  msg: Terminating a thread, tid = 139684699567680!
DEBUG:     itc.c:473                                msg: Removing mailboxes from free_mboxes_queue, count = 5!
DEBUG:     itc_queue.c:84                           msg: Queue still has items, removing them!
DEBUG:     itc_queue.c:186                          msg: Queue currently has 5 items!
DEBUG:     itc_queue.c:186                          msg: Queue currently has 4 items!
DEBUG:     itc_queue.c:186                          msg: Queue currently has 3 items!
DEBUG:     itc_queue.c:186                          msg: Queue currently has 2 items!
DEBUG:     itc_queue.c:163                          msg: Queue has only one item!
DEBUG:     itc_queue.c:152                          msg: Queue empty!
INFO:      itc_gw_daemon.c:368                      msg: ITCGW exit handler finished!
